2023-06-10,20:29:24,andrew oloroso,IN,NONE
2023-06-10,20:35:25,andrew oloroso,IN,NONE
2023-06-10,20:35:46,andrew oloroso,REQUEST BOOK,mamaw
2023-06-10,20:36:31,andrew oloroso,OUT,NONE
2023-06-10,20:51:04,andrew oloroso,IN,NONE
2023-06-10,20:51:35,andrew oloroso,IN,NONE
2023-06-10,20:52:10,andrew oloroso,REQUEST BOOK,ewan
2023-06-10,21:00:17,andrew oloroso,IN,NONE
2023-06-10,21:08:07,andrew oloroso,IN,NONE
2023-06-10,21:08:16,andrew oloroso,BORROWED BOOK,sampong ubo
2023-06-10,21:08:31,andrew oloroso,RETURNED BOOK,sampong ubo
2023-06-10,21:08:46,andrew oloroso,RETURNED BOOK,sampong ubo
2023-06-10,21:23:50,andrew oloroso,IN,NONE
2023-06-10,21:23:59,andrew oloroso,RETURNED BOOK,sampong ubo
2023-06-10,21:25:03,andrew oloroso,BORROWED BOOK,sampong ubo
2023-06-10,21:27:06,andrew oloroso,BORROWED BOOK,sampong ubo
2023-06-10,21:27:21,andrew oloroso,OUT,NONE
2023-06-10,21:30:55,andrew oloroso,IN,NONE
2023-06-10,21:31:15,andrew oloroso,BORROWED BOOK,sampong ubo
2023-06-10,21:34:59,andrew oloroso,IN,NONE
2023-06-10,21:35:10,andrew oloroso,RETURNED BOOK,sampong ubo
2023-06-10,21:35:23,andrew oloroso,OUT,NONE
2023-06-10,21:35:50,LibrarianADMIN,IN,NONE
2023-06-10,21:45:39,LibrarianADMIN,IN,NONE
2023-06-10,22:03:35,olors,IN,NONE
2023-06-10,22:03:43,olors,BORROWED BOOK,sampong ubo
2023-06-10,22:04:38,olors,IN,NONE
2023-06-10,22:04:42,olors,SETTLED VIOLATION,NONE
2023-06-10,22:04:56,olors,RETURNED BOOK,sampong ubo
2023-06-10,22:05:27,olors,BORROWED BOOK,sampong ubo
